21.09.2018 открытие;21.09.2018 максимум;21.09.2018 минимум;21.09.2018 закрытие;23.10.2018 открытие;23.10.2018 максимум;23.10.2018 минимум;23.10.2018 закрытие;21.11.2018 открытие;21.11.2018 максимум;21.11.2018 минимум;21.11.2018 закрытие;04.12.2018 открытие;04.12.2018 максимум;04.12.2018 минимум;04.12.2018 закрытие
112970;112970;112900;112960;110300;110310;110250;110260;111520;111550;111510;111530;115440;115460;115360;115450
112970;113020;112960;112970;110250;110300;110250;110260;111530;111550;111470;111480;115450;115450;115360;115390
112970;112970;112900;112950;110270;110340;110260;110280;111480;111490;111410;111420;115390;115410;115360;115360
112950;112980;112940;112980;110280;110290;110190;110290;111420;111510;111380;111460;115360;115420;115360;115400
112970;113030;112960;112960;110280;110320;110260;110270;111480;111560;111470;111540;115400;115410;115370;115410
112970;112990;112950;112990;110270;110340;110270;110330;111550;111550;111400;111420;115420;115450;115410;115440
113000;113010;112970;112970;110320;110350;110280;110350;111410;111450;111400;111410;115450;115450;115420;115440
112980;113000;112950;112950;110350;110380;110320;110340;111420;111510;111410;111510;115440;115480;115430;115460
112940;112960;112930;112960;110340;110390;110320;110390;111510;111510;111460;111490;115460;115530;115450;115520
112950;112960;112910;112950;110390;110470;110300;110460;111500;111520;111450;111480;115520;115530;115450;115490
112930;112960;112910;112950;110460;110480;110410;110430;111490;111540;111450;111520;115500;115560;115480;115540
112960;113020;112930;112970;110430;110510;110430;110510;111520;111560;111500;111550;115540;115620;115520;115600
112960;112960;112870;112910;110510;110520;110440;110440;111550;111580;111510;111560;115580;115690;115580;115620
112890;112930;112870;112900;110440;110470;110430;110470;111530;111540;111510;111530;115630;115680;115580;115610
112890;112890;112840;112860;110480;110490;110430;110490;111530;111560;111500;111550;115610;115640;115560;115580
112860;112900;112850;112890;110490;110560;110450;110480;111560;111620;111540;111610;115590;115630;115590;115610
112880;112940;112880;112910;110470;110500;110400;110410;111610;111640;111600;111610;115610;115630;115570;115580
112930;112950;112900;112940;110400;110510;110400;110500;111610;111770;111610;111710;115580;115580;115550;115570
112940;112980;112940;112970;110500;110600;110500;110560;111710;111760;111660;111680;115570;115590;115550;115580
112980;113000;112960;113000;110560;110630;110550;110580;111670;111690;111610;111690;115590;115620;115540;115600
113000;113010;112980;112980;110580;110620;110550;110550;111680;111740;111640;111740;115600;115610;115540;115550
112980;112980;112910;112970;110550;110550;110470;110530;111740;111750;111710;111740;115560;115570;115450;115460
112950;113010;112950;113010;110520;110530;110450;110470;111730;111840;111680;111780;115460;115490;115410;115440
113010;113070;113000;113060;110480;110550;110470;110520;111790;111890;111720;111850;115440;115520;115440;115520
113060;113080;113030;113040;110540;110570;110520;110570;111860;111890;111670;111740;115520;115520;115420;115460
113030;113040;112940;112940;110560;110610;110460;110490;111750;111800;111700;111710;115460;115500;115450;115470
112940;112980;112870;112890;110490;110520;110400;110420;111710;111740;111680;111740;115490;115490;115470;115470
112880;112920;112870;112870;110430;110530;110410;110530;111750;111760;111700;111750;115480;115530;115480;115500
112880;112920;112840;112900;110530;110580;110530;110570;111740;111830;111730;111820;115500;115500;115450;115480
112910;112930;112870;112890;110570;110710;110560;110660;111810;111810;111760;111780;115480;115510;115470;115510
112870;112890;112830;112880;110660;110700;110620;110630;111770;111850;111750;111850;115510;115530;115460;115470
112880;112930;112880;112910;110640;110660;110620;110630;111840;111850;111750;111780;115470;115490;115430;115470
112900;112910;112860;112870;110620;110640;110580;110620;111770;111800;111720;111750;115460;115490;115400;115490
112880;112910;112860;112900;110610;110720;110600;110690;111750;111760;111680;111680;115480;115540;115470;115520
112890;112920;112880;112900;110680;110780;110670;110720;111680;111790;111670;111710;115530;115530;115490;115500
112890;112900;112860;112900;110730;110760;110680;110700;111720;111720;111670;111710;115500;115520;115500;115510
112900;112930;112890;112920;110690;110740;110670;110730;111710;111750;111700;111720;115520;115550;115520;115530
112920;112940;112910;112920;110720;110760;110670;110730;111710;111750;111710;111740;115530;115530;115500;115520
112920;112930;112870;112890;110730;110820;110720;110790;111750;111760;111700;111710;115510;115520;115440;115450
112900;112930;112870;112900;110800;110830;110780;110790;111710;111740;111680;111740;115450;115490;115440;115490
112900;112950;112900;112950;110790;110850;110780;110830;111740;111740;111630;111660;115490;115490;115460;115480
112950;112980;112910;112930;110820;110940;110810;110900;111670;111780;111670;111760;115480;115540;115480;115530
112920;112950;112910;112950;110890;110940;110880;110910;111750;111810;111740;111800;115530;115560;115520;115560
112950;112950;112930;112940;110910;110910;110830;110850;111790;111850;111770;111820;115560;115560;115500;115540
112930;112960;112930;112940;110850;110860;110800;110800;111810;111820;111780;111790;115540;115540;115520;115530
112930;112950;112930;112930;110800;110820;110750;110770;111810;111830;111710;111720;115540;115550;115510;115540
112940;112950;112920;112930;110760;110790;110660;110720;111710;111750;111710;111730;115540;115540;115490;115540
112930;112930;112890;112900;110720;110790;110710;110770;111730;111740;111700;111700;115540;115560;115530;115540
112920;112930;112880;112880;110760;110810;110730;110760;111700;111740;111670;111740;115530;115600;115530;115600
112880;112900;112840;112840;110760;110810;110620;110670;111740;111780;111670;111690;115590;115620;115570;115610
112840;112920;112830;112860;110660;110680;110600;110650;111710;111750;111710;111750;115610;115630;115540;115550
112850;112910;112840;112880;110650;110660;110600;110650;111720;111770;111720;111730;115550;115570;115520;115560
112870;112930;112870;112910;110650;110670;110550;110560;111720;111730;111670;111680;115560;115570;115530;115550
112920;112920;112900;112920;110560;110580;110510;110570;111690;111730;111640;111650;115550;115560;115520;115520
112910;112930;112900;112900;110570;110650;110570;110620;111650;111660;111610;111620;115520;115590;115520;115570
112900;112900;112870;112900;110620;110620;110560;110620;111620;111640;111570;111620;115570;115600;115540;115550
112880;112900;112860;112900;110630;110700;110600;110700;111630;111650;111610;111640;115550;115570;115530;115570
112910;112930;112860;112860;110690;110710;110630;110660;111630;111650;111540;111560;115570;115570;115540;115540
112870;112890;112860;112870;110660;110690;110660;110670;111570;111630;111570;111620;115540;115560;115410;115460
112870;112930;112860;112900;110680;110700;110610;110640;111630;111660;111610;111610;115450;115530;115450;115520
112890;112900;112880;112890;110650;110650;110620;110630;111610;111640;111600;111610;115520;115590;115510;115570
112880;112910;112870;112890;110620;110640;110590;110640;111620;111680;111620;111650;115580;115580;115510;115520
112890;112900;112880;112890;110630;110740;110630;110700;111650;111710;111640;111700;115520;115550;115500;115510
112900;112910;112880;112910;110700;110720;110660;110670;111690;111690;111550;111550;115510;115540;115490;115500
112920;112940;112840;112880;110660;110710;110620;110690;111550;111610;111540;111570;115490;115510;115470;115500
112860;112890;112790;112890;110690;110700;110670;110670;111570;111600;111530;111580;115500;115500;115460;115460
112870;112870;112810;112810;110660;110690;110660;110660;111580;111590;111550;111590;115470;115480;115440;115470
112810;112810;112690;112700;110650;110690;110560;110560;111590;111610;111550;111550;115460;115480;115420;115460
112700;112730;112560;112620;110560;110620;110560;110600;111560;111600;111550;111600;115470;115470;115410;115460
112640;112710;112590;112670;110600;110670;110590;110630;111590;111640;111580;111640;115470;115490;115440;115450
112660;112690;112640;112690;110630;110690;110550;110630;111620;111670;111540;111630;115450;115490;115450;115480
112690;112740;112670;112710;110630;110690;110580;110650;111640;111650;111580;111610;115480;115490;115470;115490
112710;112730;112700;112730;110650;110680;110620;110630;111600;111670;111570;111670;115480;115480;115410;115420
112730;112730;112660;112710;110620;110740;110620;110680;111670;111690;111660;111680;115420;115460;115410;115440
112710;112720;112650;112650;110670;110670;110610;110620;111680;111770;111660;111680;115450;115460;115390;115460
